Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Number (PACE),Support Category Name,Support Category Name (PACE),Unit,Quote,Start date,End Date,National,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_816_0115_1_1,Assistance in Supported Independent Living - High Intensity - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,Y,Priced Supports
01_816_0138_1_1,Supported Independent Living - High Intensity - Public Holiday,0138,assistance in supported independent living,1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,Y,Priced Supports
01_821_0115_1_1,Assistance in Supported Independent Living - Weekly,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20260701,99991231,,,,Y,Y,Y,N,Y,Priced Supports
01_821_0138_1_1,Supported Independent Living - Weekly,0138,assistance in supported independent living,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20260701,99991231,,,,Y,Y,Y,N,Y,Priced Supports
01_822_0115_1_1,Assistance in Supported Independent Living - Exit Accommodation Permanently,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20260701,99991231,,,,N,N,N,N,N,Priced Supports
01_822_0138_1_1,Supported Independent Living - Exit Accommodation Permanently,0138,assistance in supported independent living,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,No,20260701,99991231,,,,Y,Y,Y,N,Y,Priced Supports
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20260701,99991231,311.79,436.51,467.69,Y,Y,Y,N,Y,Priced Supports
01_832_0138_1_1,Supported Independent Living - Night-Time Sleepover,0138,assistance in supported independent living,1,16,Assistance with Daily Life (Includes SIL),Home and Living,E,No,20260701,99991231,311.79,436.51,467.69,Y,Y,Y,N,Y,Priced Supports
01_850_0106_1_1,Individualised Living Options - Exploration and Design,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,16,Assistance with Daily Life (Includes SIL),Home and Living,H,No,20260701,99991231,100.14,140.19,150.21,Y,Y,Y,Y,N,Priced Supports
01_851_0115_1_1,Individualised Living Options - Support Model,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,16,Assistance with Daily Life (Includes SIL),Home and Living,WK,Yes,20260701,99991231,,,,,,,,,Quotable Supports
02_050_0108_1_1,Specialised Transport To School/Educational Facility/Employment/Community,0108,Assistance With Travel/Transport Arrangements,2,2,Transport,Transport,D,Yes,20260701,99991231,,,,,,,,,Quotable Supports
02_051_0108_1_1,Transport,0108,Assistance With Travel/Transport Arrangements,2,2,Transport,Transport,YR,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_040000111_0103_1_1,Disability-Related Health Consumables - High Cost,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,Yes,20260701,99991231,,,,,,,,,Quotable Supports
03_040000919_0103_1_1,Disability-Related Health Consumables - Low Cost,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_050903053_0103_1_1,Incontinence Alarms,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_060000911_0135_1_1,Low Cost AT - Prosthetics And Orthotics,0135,Customised Prosthetics (includes Orthotics),3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_089_0121_1_1,Auslan Or Signed English Training,0121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20260701,99991231,,,,,,,,,
03_090_0121_1_1,Interpreting And Translating,0121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20260701,99991231,,,,,,,,,
03_090000911_0103_1_1,Low Cost AT - Personal Care And Safety,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_090348111_0103_1_2,Extra cost for adapted or adapting clothing and/or footwear for disability need,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_090900111_0103_1_2,Assistive products for dressing or undressing,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_091_0121_1_1,Telephone Or Video Interpreting,0121,Interpreting And Translation,3,3,Consumables,Consumables,H,No,20260701,99991231,,,,,,,,,
03_091800084_0103_1_1,Continence - bowel care,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_092100082_0103_1_1,Continence - consumables,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_092400080_0103_1_1,Continence - catheters/sheaths,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_092700081_0103_1_1,Continence - drain/leg bags,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_092700083_0103_1_1,Continence - urinary collection items and accessories,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_093021078_0103_1_1,Continence - reusable/washable personal protection,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_093021079_0103_1_1,Continence - disposable personal protection,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_093040085_0103_1_1,Continence - bed/chair/floor protection,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_120000911_0105_1_1,Low Cost AT - Personal Mobility,0105,Personal Mobility Equipment,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_150930078_0103_1_1,HEN - pump plus accessory - syringe feed,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930079_0103_1_1,HEN - pump plus accessory - non-syringe feed,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930080_0103_1_1,HEN - bolus syringes,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930081_0103_1_1,HEN - gastrostomy devices,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930084_0103_1_1,HEN - giving sets,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930085_0103_1_1,HEN - containers,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930087_0103_1_1,HEN - water flush syringes,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,YR,No,20260701,99991231,,,,N,N,N,N,N,
03_150930088_0103_1_1,HEN - Other equipment,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,,,,N,N,N,N,N,
03_220300911_0113_1_1,Low Cost AT - Vision Related AT,0113,Vision Equipment,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_220600911_0122_1_1,Low Cost AT - Hearing Related AT,0122,Hearing Equipment,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_222100911_0124_1_1,Low Cost AT - Communication Or Cognitive Support,0124,Communication And Information Equipment,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_501509092_0103_1_1,Repairs and Maintenance - HEN AT,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related Health Consumables,0103,Assistive Products For Personal Care And Safety,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_900100156_0130_1_1,Assistance Animal - Dog Guide - Dietary Needs,0130,Assistance Animals,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_900100157_0130_1_1,Assistance Animal - Dog Guide - Grooming,0130,Assistance Animals,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_900100158_0130_1_1,Assistance Animal - Dog Guide - Veterinary Services,0130,Assistance Animals,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
03_900100159_0130_1_1,Assistance Animal - Dog Guide - Annual Accreditation,0130,Assistance Animals,3,3,Consumables,Consumables,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,735.8,1030.12,1103.7,N,N,N,N,N,Priced Supports
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,735.8,1030.12,1103.7,N,N,N,N,N,Priced Supports
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,735.8,1030.12,1103.7,N,N,N,N,N,Priced Supports
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,735.8,1030.12,1103.7,N,N,N,N,N,Priced Supports
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,163.46,228.84,245.19,Y,Y,Y,N,N,Priced Supports
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,73.58,103.01,110.37,Y,Y,Y,N,N,Priced Supports
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,81.07,113.5,121.61,Y,Y,Y,N,N,Priced Supports
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,81.07,113.5,121.61,Y,Y,Y,N,N,Priced Supports
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,73.58,103.01,110.37,Y,Y,Y,N,N,Priced Supports
04_104_0136_6_1,Group Activities - Standard - Saturday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,103.54,144.96,155.31,Y,Y,Y,N,N,Priced Supports
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,103.54,144.96,155.31,Y,Y,Y,N,N,Priced Supports
04_105_0136_6_1,Group Activities - Standard - Sunday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,133.5,186.9,200.25,Y,Y,Y,N,N,Priced Supports
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,133.5,186.9,200.25,Y,Y,Y,N,N,Priced Supports
04_106_0136_6_1,Group Activities - Standard - Public Holiday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,163.46,228.84,245.19,Y,Y,Y,N,N,Priced Supports
04_210_0125_6_1,Community Social And Recreational Activities,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,,,,N,N,N,N,N,
04_400_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,79.6,111.44,119.4,Y,Y,Y,N,N,Priced Supports
04_401_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,87.7,122.78,131.55,Y,Y,Y,N,N,Priced Supports
04_402_0104_1_1,Access Community Social and Rec Activ - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,112.01,156.81,168.02,Y,Y,Y,N,N,Priced Supports
04_403_0104_1_1,Access Community Social and Rec Activ - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,144.42,202.19,216.63,Y,Y,Y,N,N,Priced Supports
04_404_0104_1_1,Access Community Social and Rec Activ - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,N,Priced Supports
04_450_0125_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,79.6,111.44,119.4,Y,Y,Y,N,N,Priced Supports
04_450_0136_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,79.6,111.44,119.4,Y,Y,Y,N,N,Priced Supports
04_451_0125_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,87.7,122.78,131.55,Y,Y,Y,N,N,Priced Supports
04_451_0136_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,87.7,122.78,131.55,Y,Y,Y,N,N,Priced Supports
04_452_0125_1_1,Intensive and Complex Behaviour Supports - Saturday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,112.01,156.81,168.02,Y,Y,Y,N,N,Priced Supports
04_452_0136_1_1,Intensive and Complex Behaviour Supports - Saturday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,112.01,156.81,168.02,Y,Y,Y,N,N,Priced Supports
04_453_0125_1_1,Intensive and Complex Behaviour Supports - Sunday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,144.42,202.19,216.63,Y,Y,Y,N,N,Priced Supports
04_453_0136_1_1,Intensive and Complex Behaviour Supports - Sunday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,144.42,202.19,216.63,Y,Y,Y,N,N,Priced Supports
04_454_0125_1_1,Intensive and Complex Behaviour Supports - Public Holiday,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,N,Priced Supports
04_454_0136_1_1,Intensive and Complex Behaviour Supports - Public Holiday,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,N,Priced Supports
04_590_0125_6_1,Activity Based Transport,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_591_0136_6_1,Activity Based Transport,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_592_0104_6_1,Activity Based Transport,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_599_0104_6_1,Centre Capital Cost,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,2.71,3.79,4.07,N,N,Y,N,N,Priced Supports
04_599_0133_5_1,Centre Capital Cost,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,2.71,3.79,4.07,N,N,Y,N,N,Priced Supports
04_599_0136_6_1,Centre Capital Cost,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,2.71,3.79,4.07,N,N,Y,N,N,Priced Supports
04_600_0104_6_1,Group Activities - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,79.6,111.44,119.4,Y,Y,Y,N,N,Priced Supports
04_601_0104_6_1,Group Activities - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,87.7,122.78,131.55,Y,Y,Y,N,N,Priced Supports
04_602_0104_6_1,Group Activities - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,112.01,156.81,168.02,Y,Y,Y,N,N,Priced Supports
04_603_0104_6_1,Group Activities - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,144.42,202.19,216.63,Y,Y,Y,N,N,Priced Supports
04_604_0104_6_1,Group Activities - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,176.84,247.58,265.26,Y,Y,Y,N,N,Priced Supports
04_799_0104_6_1,Provider travel - non-labour costs,0104,High Intensity Daily Personal Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_799_0125_6_1,Provider travel - non-labour costs,0125,"Participation In Community, Social And Civic Activities",4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_799_0133_5_1,Provider travel - non-labour costs,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_799_0136_6_1,Provider travel - non-labour costs,0136,Group And Centre Based Activities,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,73.58,103.01,110.37,Y,Y,Y,N,N,Priced Supports
04_802_0133_5_1,Supports in Employment - Weekday Evening,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,81.07,113.5,121.61,Y,Y,Y,N,N,Priced Supports
04_803_0133_5_1,Supports in Employment - Saturday,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,103.54,144.96,155.31,Y,Y,Y,N,N,Priced Supports
04_804_0133_5_1,Supports in Employment - Sunday,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,133.5,186.9,200.25,Y,Y,Y,N,N,Priced Supports
04_805_0133_5_1,Supports in Employment - Public Holiday,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",H,No,20260701,99991231,163.46,228.84,245.19,Y,Y,Y,N,N,Priced Supports
04_821_0133_6_1,Activity Based Transport,0133,Specialised Supported Employment,4,4,"Assistance with Social, Economic and Community Participation","Assistance with Social, Economic and Community Participation",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0103_1_2,AT Supplementary Charge - AT Personal Care/Safety,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0105_1_2,AT Supplementary Charge - Personal Mobility or Transfer,0105,Personal Mobility Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0109_1_2,AT Supplementary Charge - Vehicle modifications,0109,Vehicle Modifications,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0112_1_2,AT Supplementary Charge - Recreation including sport,0112,Assistive Equipment For Recreation,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0113_1_2,AT Supplementary Charge - Vision,0113,Vision Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0122_1_2,AT Supplementary Charge - Hearing products,0122,Hearing Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0123_1_2,AT Supplementary Charge - Household Tasks and Control,0123,Assistive Products For Household Tasks,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0124_1_2,AT Supplementary Charge - Communication and Information support,0124,Communication And Information Equipment,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_0002_0135_1_2,AT Supplementary Charge - Prosthesis or Orthosis,0135,Customised Prosthetics (includes Orthotics),5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_040312115_0103_1_2,AT Rental - Assistive Products for Respiration Support,0103,Assistive Products For Personal Care And Safety,5,19,Assistive Technology,"Assistive Technology Maintenance, Repair and Rental",E,No,20260701,99991231,1.0,1.0,1.0,N,N,N,N,N,Unit Price = $1
05_040312801_0103_1_1,Ventilators - Supplemental Ventilation Support (including CPAP and BPAP),0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_040312811_0103_1_1,Ventilators - Invasive Ventilation for Continuous Use,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_040313111_0103_1_1,Ventilator accessory - Filters and/or Humidifiers,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
05_040321811_0103_1_1,Aspirators,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_040322811_0103_1_1,Cough Assist Machine,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,,,,,,
05_040609171_0103_1_1,Cyclic Pressure Unit - Replacement Garments and Compression Sleeves,0103,Assistive Products For Personal Care And Safety,5,5,Assistive Technology,Assistive Technology,E,No,20260701,99991231,,,,N,N,N,N,N,
